Type,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured
Motive Confirmed,21-Mar-16,Mohammed Ghalib al-Majidi,Male,Yemen,Freelance,Yemeni,Internet,Camera Operator,"Human Rights, Politics, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,19-Feb-16,Majid Dirani,Male,Syria,Freelance,Syrian,Internet,Camera Operator,War,Yes,Local,Government Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,16-Feb-16,Ahmed al-Shaibani,Male,Yemen,"Yaman News, Yemen TV",Yemeni,Television,Camera Operator,War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,13-Feb-16,Karun Misra,Male,India,Jansandesh Times,Indian,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,"Criminal Group, Local Residents",Murder,Yes,No,No,"No
"
Motive Confirmed,5-Feb-16,El-Hadj Mohamed Diallo ,Male,Guinea,"Guinée7, Afrik",Guinea,Internet,Internet Reporter,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,22-Jan-16,Hashim al-Hamran,Male,Yemen,Al-Masirah TV,Yemeni,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,21-Jan-16,Marcos Hernández Bautista ,Male,Mexico,"Noticias, Voz e Imagen de Oaxaca",Mexico,Radio,Print Reporter,"Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,17-Jan-16,Almigdad Mojalli,Male,Yemen,Freelance,Yemeni,Internet,Print Reporter,"Culture, Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,,"No
"
Motive Confirmed,12-Jan-16,Hassan al-Anbaki,Male,Iraq,Al-Sharqiya,Iraq ,Television,Camera Operator,War,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,12-Jan-16,Saif Talal,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,27-Dec-15,Naji Jerf,Male,Turkey,"Hentah, Raqqa is Being Slaughtered Silently",Syria,Internet,Editor,"Human Rights, Politics",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,16-Dec-15,Ahmed Mohamed al-Mousa,Male,Syria,Raqqa is Being Slaughtered Silently ,Syria,Internet,Editor,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,7-Dec-15,Zakaria Ibrahim,Male,Syria,Al-Jazeera,Syrian,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,3-Dec-15,Hindia Haji Mohamed,Female,Somalia,"Radio Mogadishu, Somali National TV",Somalia,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,No,No,No,"No
"
Motive Confirmed,13-Nov-15,Guillaume Barreau-Decherf,Male,France,Freelance ,France,Print,Print Reporter,Culture,Yes,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,13-Nov-15,Ítalo Eduardo Diniz Barros,Male,Brazil,Blog Ítalo Diniz,Brazil,Internet,Internet Reporter,Politics,No,Local,"Government Officials, Local Residents",Murder,Yes,No,Yes,"No
"
Motive Confirmed,10-Nov-15,Israel Gonçalves Silva,Male,Brazil,Rádio Itaenga FM,Brazil,Radio,Broadcast,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,6-Nov-15,Ahmed Abu al-Hamza,Male,Syria,"SMART News Agency, Hama Media Center",Syria,Internet,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,3-Nov-15,Batoul Mokhles al-Warrar,Female,Syria,Noor al-Sham; Radio Damascus,Syria,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,3-Nov-15,Zaman Mehsud,Male,Pakistan,"Daily Ummat, Daily Nai Baat",Pakistan,Print,Print Reporter,"Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,1-Nov-15,Mustaf Abdi Noor ,Male,Somalia,Freelance ,Somalia,Television,Camera Operator,"Politics, War",Yes,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,31-Oct-15,Faisal Arefin Dipan,Male,Bangladesh,Jagriti Prokashoni ,Bangladesh,Print,Publisher,,No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,30-Oct-15,Fares Hamadi,Male,Turkey,Eye on the Homeland,Syrian,Internet,Producer,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,30-Oct-15,Ibrahim Abd al-Qader,Male,Turkey,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Syrian,Internet,Editor,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,27-Oct-15,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Syria,Shahba Press Agency,Syrian,Internet,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,23-Oct-15,Wasem Aledel,Male,Syria,Maarat Media Center,Syrian,Television,Camera Operator,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,26-Sep-15,Obada Ghazal,Male,Syria,SMART News Agency,Syria ,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,17-Sep-15,Bilal Sharaf al-Deen,Male,Yemen,Al-Masirah TV,Yemen,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,12-Sep-15,Yahya Abdul Hamid,Male,Iraq,Radio Rasheed,Iraq,Radio,Editor,"Corruption, Crime, Human Rights, Politics",No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,10-Sep-15,George Abanga,Male,Ghana,"Success FM, Peace FM",Ghana,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,10-Sep-15,Flor Alba Núñez Vargas,Female,Colombia,Red Noticias and La Preferida Estereo,Colombia,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,26-Aug-15,Adam Ward,Male,USA,WDBJ7,USA,Television,Camera Operator,"Business, Corruption, Crime, Sports",No,Local,Local Residents,Dangerous Assignment,,,,"
"
Motive Confirmed,26-Aug-15,Alison Parker,Female,USA,WDBJ7,USA,Television,Broadcast,"Business, Corruption, Crime, Sports",No,Local,Local Residents,Dangerous Assignment,,,,"
"
Motive Confirmed,15-Aug,Adel Sayegh ,Male,Iraq,Salaheddin TV,Iraq,Television,Camera Operator,"Politics, War",No,Local,Political Group,Murder,Yes,Yes,,"
"
Motive Confirmed,7-Aug-15,Niloy Neel,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,6-Aug-15,Gleydson Carvalho,Male,Brazil,Radio Liberdade FM 90.3,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
"
Motive Confirmed,31-Jul-15,Rubén Espinosa Becerril,Male,Mexico,"Proceso, AVC Noticias, Cuartoscuro",Mexico,Print,Photographer,"Culture, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"Yes
"
Motive Confirmed,27-Jul-15,Thaer al-Ajlani,Male,Syria,Sham FM; al-Watan,Syria,Television,Broadcast,War,Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,15-Jul-15,Jalaa al-Abadi,Male,Iraq,Nineveh Reporters Network,Iraq,Internet,Camera Operator,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"No
"
Motive Confirmed,2-Jul-15,Filadelfo Sánchez Sarmiento,Male,Mexico,La Favorita 103.3FM La Voz de la Sierra Sur,Mexico,Radio,Print Reporter,Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,26-Jun-15,Mohammed al-Asfar,Male,Syria,Al-Jazeera,Syria,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,14-Jun-15,Łukasz Masiak,,Poland,Nasza Mława,Poland ,Internet,Editor,"Corruption, Crime",No,Local,Local Residents,Murder,Yes,No,Yes,"No
"
Motive Confirmed,8-Jun-15,Jagendra Singh,Male,India,Freelance,India,Internet,Internet Reporter,"Corruption, Crime, Politics",Yes,Local,Government Officials,Murder,Yes,No,No,"Yes
"
Motive Confirmed,31-May-15,Ammar al-Shami,Male,Syria,Qasioun News ,Syria,Internet,Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,"May 22 or 23, 2015",Djalma Santos da Conceição,Male,Brazil,RCA FM,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,"Criminal Group, Government Officials",Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,21-May-15,Abdullah Qabil,Male,Yemen,"Yemen Youth TV, Belqees TV",Yemen,Television,Broadcast,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
"
Motive Confirmed,21-May-15,Youssef al-Ayzari,Male,Yemen,Suhail TV,Yemen,Television,Broadcast,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
"
Motive Confirmed,"May 13, 14, 15, 16, 17, or 18, 2015",Evany José Metzker,Male,Brazil,Coruja do Vale,Brazil,Internet,Internet Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,12-May-15,Ananta Bijoy Das,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,"May 2,3 or 4, 2015",Armando Saldaña Morales,Male,Mexico,La Ke Buena 100.9 FM,Mexico,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,1-May-15,Firas al-Baher,Male,Iraq,Nineveh al-Ghad,Iraq,Television,Producer,Politics,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,30-Apr-15,John Kituyi,Male,Kenya,Mirror Weekly,Kenyan,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,29-Apr-15,Daud Ali Omar,Male,Somalia,Radio Baidoa,Somalia,Television,Broadcast,"Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,26-Apr-15,Thaer Al-Ali,Male,Iraq,Rai al-Nas,Iraq,Print,Editor,War,No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,22-Apr-15,Muftah al-Qatrani,Male,Libya,Al-Anwar,Libya,Television,Broadcast,War,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,20-Apr-15,Mohamed Shamsan,Male,Yemen,Yemen Today,Yemen,Television,Broadcast,"Culture, Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,16-Apr-15,Humam Najjar (Abu Yazan al-Halabi),Male,Syria,Aleppo Today,Syria,Television,Broadcast,"Human Rights, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
Motive Confirmed,16-Apr-15,Soleil Balanga,Male,Democratic Republic of the Congo,Radio Monkoto Soso Aleli,Democratic Republic of the Congo,Radio,Broadcast,"Culture, Politics",No,Local,Local Residents,Murder,No,No,No,"No
"
Motive Confirmed,1-Apr-15,Jamal Khalifeh,Male,Syria,Freelance,Syria,Internet,Camera Operator,War,Yes,Local,"Local Residents, Political Group",Crossfire/Combat-Related,,,,"
"
Motive Confirmed,30-Mar-15,Washiqur Rahman Babu,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,Unknown,Fadel al-Hadidi,Male,Iraq,Mosul al-Youm; Sada al-Iraq,Iraq,Print,Columnist,"Corruption, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,No,"No
"
Motive Confirmed,10-Mar-15,Danilo López,Male,Guatemala,Prensa Libre,Guatemala,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,"Criminal Group, Government Officials",Murder,Yes,No,Yes,"No
"
Motive Confirmed,8-Mar-15,Noureddine Hashim,Male,Syria,Al Etihad Press ,Syria,Television,Broadcast,War,No,Local,Government Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,5-Mar-15,Gerardo Ceferino Servían,Male,Brazil,Ciudad Nueva FM ,Paraguay,Radio,Broadcast,Politics,No,Foreign,Government Officials,Murder,Yes,No,No,"No
"
Motive Confirmed,28-Feb-15,Serhiy Nikolayev,Male,Ukraine,Segodnya,Ukraine,Print,Photographer,"Human Rights, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,26-Feb-15,Avijit Roy,Male,Bangladesh,Freelance,United States,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Foreign,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,15-Jan,Kenji Goto,Male,Syria,Freelance,Japanese,Television,Camera Operator,"Culture, Human Rights, Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,25-Jan-15,Randa George,Female,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,25-Jan-15,Dalia Marko,Female,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,25-Jan-15,Musa Mohamed,Male,South Sudan,Raja FM,South Sudan,Radio,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,25-Jan-15,Boutros Martin,Male,South Sudan,South Sudan Television,South Sudan,Television,Camera Operator,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,25-Jan-15,Adam Juma,Male,South Sudan,Raja FM,South Sudan,Radio,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,7-Jan-15,Bernard Maris,Male,France,Freelance,France,Internet,Columnist,Business,Yes,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Georges Wolinski,Male,France,Charlie Hebdo,France,Internet,Columnist,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Jean Cabut (Cabu),Male,France,Charlie Hebdo,France,Internet,Columnist,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Stephane Charbonnier (Charb),Male,France,Charlie Hebdo,France,Internet,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Bernard Verlhac (Tignous),Male,France,Freelance,France,Internet,Columnist,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Elsa Cayat,Female,France,Freelance,France,Internet,Columnist,Culture,Yes,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Moustapha Ourrad,Male,France,Charlie Hebdo,France,Internet,Editor,"Culture, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,7-Jan-15,Philippe Honoré,Male,France,Freelance,France,Internet,Columnist,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Partial,No,Yes,"No
"
Motive Confirmed,4-Jan-15,Khaled al-Washli,Male,Yemen,Al-Masirah TV,Yemen,Television,Broadcast,"Human Rights, Politics, War",No,Local,Political Group,Dangerous Assignment,,,,"
"
Motive Confirmed,2-Jan-15,José Moisés Sánchez Cerezo ,Male,Mexico,La Unión,Mexico,Internet,Internet Reporter,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,Yes,Yes,"Yes
"
Motive Confirmed,23-Dec-14,Marcos de Barros Leopoldo Guerra,Male,Brazil,Ubatuba Cobra,Brazil,Internet,Internet Reporter,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
"
Motive Confirmed,21-Dec-14,Zubair Hatami,Male,Afghanistan,Mitra TV,Afghanistan,Television,Camera Operator,"Human Rights, Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
"
Motive Confirmed,10-Dec-14,Mahran al-Deeri,Male,Syria,Al-Jazeera,Syria,Internet,Internet Reporter,"Human Rights, Politics, War",No,Local,"Military Officials, Political Group",Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Dec-14,Salem Khalil,Male,Syria,Orient News,Syria,Television,Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Dec-14,Rami Asmi,Male,Syria,Orient News,Syria,Television,Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,8-Dec-14,Yousef el-Dous,Male,Syria,Orient News,Syria,Television,Broadcast,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,6-Dec-14,Luke Somers,Male,Yemen,Freelance,American,Internet,Photographer,"Culture, Human Rights, Politics",Yes,Foreign,Political Group,Murder,Partial,Yes,No,"No
"
Motive Confirmed,5-Dec-14,Mohamed Isaq,Male,Somalia,Kalsan TV,Somalia,Television,Camera Operator,"Culture, Politics",No,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,5-Dec-14,Abdulkadir Ahmed,Male,Somalia,Freelance,Somalia,Television,Broadcast,Politics,Yes,Local,Political Group,Murder,Yes,No,No,"No
"
Motive Confirmed,26-Nov-14,MVN Shankar,Male,India,Andhra Prabha,India,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,No,"No
"
Motive Confirmed,22-Nov-14,Zaher Mtawe'e,Male,Syria,Zebdine Coordination Committee,Syria,Internet,Camera Operator,"Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,16-Nov-14,Abdirizak Ali Abdi,Male,Somalia,Freelance,Somalia,Television,Broadcast,Politics,Yes,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,16-Oct-14,Pablo Medina Velázquez,Male,Paraguay,ABC Color,Paraguay,Print,Print Reporter,Crime,No,Local,"Criminal Group, Government Officials",Murder,Yes,No,Yes,"No
"
Motive Confirmed,15-Oct-14,Atallah Bajbouj,Male,Syria,Nabaa Media Foundation,Syria,Internet,Camera Operator,"Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,4-Oct-14,"Aung Kyaw Naing, \Par Gyi\""""",Male,Myanmar,Freelance,Burmese,Print,Photographer,"Human Rights, War",Yes,Local,Military Officials,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,16-Sep-14,Facely Camara,Male,Guinea,Liberté FM,Guinea,Radio,Broadcast,Human Rights,No,Local,Mob Violence,Murder,Yes,No,No,"No
"
Motive Confirmed,10-Sep-14,Mohammed al-Qasim,Male,Syria,Rozana Radio,Syria,Television,Broadcast,"Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,"August or September, 2014",Steven Sotloff,Male,Syria,Freelance,"American, Israeli",Internet,Internet Reporter,"Human Rights, Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,28-Aug-14,Irshad Mastoi,Male,Pakistan,"Online International News Network, ARY News",Pakistan,Television,Editor,"Human Rights, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
Motive Confirmed,28-Aug-14,Ghulam Rasool,Male,Pakistan,Online International News Network,Pakistan,Print,Print Reporter,"Crime, Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,No,"No
"
Motive Confirmed,14-Aug,James Foley,Male,Syria,Freelance,United States,Internet,Photographer,"Human Rights, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
"
Motive Confirmed,13-Aug-14,Simone Camilli,Male,Israel and the Occupied Palestinian Territory,The Associated Press,Italy,Television,Camera Operator,"Politics, War",No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,11-Aug-14,Octavio Rojas Hernández,Male,Mexico,El Buen Tono,Mexico,Print,Print Reporter,"Corruption, Crime",No,Local,"Criminal Group, Government Officials",Murder,Yes,No,No,"No
"
Motive Confirmed,8-Aug-14,Leyla Yildizhan (Deniz Firat),Female,Iraq,Firat News Agency,Turkey,Television,Broadcast,"Human Rights, Politics, War",Yes,Foreign,"Military Officials, Political Group",Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,6-Aug-14,Andrei Stenin,Male,Ukraine,Rossiya Segodnya,Russia,Internet,Photographer,"Human Rights, War",No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,30-Jul-14,Sameh al-Aryan,Male,Israel and the Occupied Palestinian Territory,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Television,Camera Operator,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
Motive Confirmed,30-Jul-14,Rami Rayan,Male,Israel and the Occupied Palestinian Territory,Palestine Network for Press and Media,Israel and the Occupied Palestinian Territory,Television,Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
"
