,Username,Category,Followers,Followees,Posts,Level
98,marcusbutler,fashion,3457428.0,393,786,Huge
99,melissasatta,fashion,3418964.0,529,3664,Huge
100,stefaniegiesinger,fashion,3412920.0,344,1768,Huge
101,isabellafiorentino,fashion,3399607.0,1687,5269,Huge
102,louteasdale,fashion,3396858.0,1586,1664,Huge
103,cynsantana,fashion,3386873.0,327,1491,Huge
104,mariasharapova,fashion,3382591.0,413,1458,Huge
105,oliviaculpo,fashion,3345820.0,2430,3278,Huge
106,chechurodriguez_real,fashion,3344333.0,1010,4845,Huge
107,lottietomlinson,fashion,3340504.0,1311,2769,Huge
108,carolinakopelioff,fashion,3278706.0,556,770,Huge
109,evelynregly,fashion,3228075.0,1256,7077,Huge
110,golden_barbie,fashion,3216532.0,476,2084,Huge
111,rawan,fashion,3170954.0,998,1347,Huge
112,menwithstreetstyle,fashion,3162706.0,45,4404,Huge
113,thassianaves,fashion,3152072.0,1000,14340,Huge
114,daniellediz,fashion,3119448.0,908,956,Huge
115,_summerella_,fashion,3066136.0,843,4239,Huge
116,liketoknow.it,fashion,3060410.0,1507,19025,Huge
117,chloegshore1,fashion,3032394.0,347,670,Huge
118,mandymooremm,fashion,2994869.0,671,1774,Huge
119,doctor.mike,fashion,2949912.0,193,594,Huge
120,pilarrubio_oficial,fashion,2910521.0,479,1121,Huge
121,yarashahidi,fashion,2874140.0,1005,1698,Huge
122,milesocampo,fashion,2866381.0,818,940,Huge
123,rachelzoe,fashion,2851247.0,837,5160,Huge
124,sherylrubio,fashion,2838283.0,862,1284,Huge
125,whowhatwear,fashion,2829068.0,1774,5186,Huge
126,neelsvisser,fashion,2805699.0,307,380,Huge
127,anyuta_rai,fashion,2805694.0,89,1363,Huge
128,marigonzalez,fashion,2794813.0,679,3120,Huge
129,highfashionmen,fashion,2763204.0,97,1585,Huge
130,gabi,fashion,2750600.0,1495,910,Huge
131,mariesteller,fashion,2745760.0,926,1764,Huge
132,barrefaeli,fashion,2730605.0,597,2682,Huge
133,ttlyteala,fashion,2724909.0,313,1104,Huge
134,jvn,fashion,2693579.0,702,1793,Huge
135,prayalundberg,fashion,2685554.0,264,1214,Huge
136,daniellecohn,fashion,2654975.0,2207,883,Huge
137,brynnrumfallo,fashion,2636028.0,1540,1199,Huge
138,gaurikhan,fashion,2635662.0,111,857,Huge
139,chavespauok,fashion,2581308.0,196,1295,Huge
140,amandasteele,fashion,2560756.0,419,2103,Huge
141,antoni,fashion,2559946.0,316,392,Huge
142,alejandraespinoza,fashion,2547390.0,904,3537,Huge
143,paola_antonini,fashion,2527294.0,1159,2893,Huge
144,jascurtissmith,fashion,2523998.0,1660,3750,Huge
145,dulceida,fashion,2522950.0,767,7355,Huge
146,vogueitalia,fashion,2477094.0,31,9221,Huge
147,tinashenow,fashion,2466054.0,511,2679,Huge
148,pau_eche,fashion,2458516.0,890,6706,Huge
149,zaira.nara,fashion,2440777.0,896,3511,Huge
150,jogiorgiajo,fashion,2425333.0,503,989,Huge
151,dalalid,fashion,2391524.0,1022,3920,Huge
152,julianolaham,fashion,2380416.0,356,450,Huge
153,daniellamonet,fashion,2361747.0,969,2097,Huge
154,jourdandunn,fashion,2356107.0,1656,1178,Huge
155,whatthechic,fashion,2342021.0,632,1450,Huge
156,sakshimalikk,fashion,2319296.0,214,659,Huge
157,marisaad,fashion,2318605.0,2549,7431,Huge
158,sarahstage,fashion,2307422.0,706,1059,Huge
159,instylemagazine,fashion,2302262.0,1042,9149,Huge
160,simondesue,fashion,2296054.0,33,338,Huge
161,gigigorgeous,fashion,2275910.0,1172,3589,Huge
162,larlarlee,fashion,2217256.0,285,1762,Huge
163,meredithfoster,fashion,2215634.0,796,1061,Huge
164,jadeseba,fashion,2210126.0,546,6485,Huge
165,stephaniedurant,fashion,2198553.0,330,467,Huge
166,malaysiainthecity,fashion,2197239.0,582,1608,Huge
167,untedetiloporfavor,fashion,2174988.0,1197,1965,Huge
168,jimchapman,fashion,2168036.0,179,1587,Huge
169,pokimanelol,fashion,2165223.0,675,606,Huge
170,msbarbieimperial,fashion,2147480.0,174,321,Huge
171,jess,fashion,2140137.0,191,613,Huge
172,garotasdegrife,fashion,2105330.0,2,11367,Huge
173,miraclewatts00,fashion,2102836.0,1733,1875,Huge
174,katy,fashion,2099345.0,401,1265,Huge
175,ajionaalexus,fashion,2085034.0,99,605,Huge
176,tanfrance,fashion,2080534.0,99,302,Huge
177,chiarabiasi,fashion,2075955.0,329,7743,Huge
178,yasminbrunet1,fashion,2064562.0,925,2964,Huge
179,missjuliakelly,fashion,2060623.0,418,385,Huge
180,gabrielconte,fashion,2037644.0,194,667,Huge
181,maylaraujoc,fashion,2000125.0,346,608,Huge
182,cynthiabailey10,fashion,1991733.0,1655,6080,Huge
183,cristipedroche,fashion,1981064.0,989,2024,Huge
184,ricademarre,fashion,1970911.0,744,9707,Huge
185,aruanmarsha,fashion,1952960.0,847,879,Huge
186,brunavieira,fashion,1944002.0,2786,7952,Huge
187,miastammer,fashion,1936071.0,714,777,Huge
188,sophiekasaei_,fashion,1932496.0,1357,2361,Huge
189,sonyaesman,fashion,1928634.0,285,2694,Huge
190,weworewhat,fashion,1921270.0,986,11230,Huge
191,talagolzar,fashion,1908100.0,46,389,Huge
192,rafakalimann,fashion,1907447.0,2009,3203,Huge
193,valentinavignali,fashion,1904874.0,207,3696,Huge
194,megandeangelis,fashion,1898367.0,1806,1771,Huge
195,agthpricilla,fashion,1895621.0,572,465,Huge
196,irismittenaeremf,fashion,1883452.0,658,911,Huge
197,therealtahiry,fashion,1879098.0,1057,11230,Huge
198,sharlenesanpedro1,fashion,1866815.0,577,738,Huge
199,mensfashions,fashion,1854044.0,13,17605,Huge
200,oliviadbuck,fashion,1844952.0,1414,2249,Huge
201,porrovecchiocoralie,fashion,1834563.0,82,328,Huge
202,iamsarahharris,fashion,1824696.0,95,712,Huge
203,julietanaircalvo,fashion,1810497.0,573,3024,Huge
204,aminabuddafly,fashion,1793844.0,684,4435,Huge
205,camilacanabal,fashion,1793068.0,966,8189,Huge
206,gabibrandt,fashion,1782185.0,302,1803,Huge
207,manonmarsault,fashion,1775475.0,152,1126,Huge
208,clarialonso,fashion,1756237.0,1007,2502,Huge
209,thehala,fashion,1748048.0,156,1443,Huge
210,imjennim,fashion,1717748.0,813,2735,Huge
211,mrmr__4,fashion,1710783.0,1723,2615,Huge
212,lovelypepa,fashion,1710191.0,963,2896,Huge
213,carolsaraivafitness,fashion,1704992.0,673,1949,Huge
214,carodaur,fashion,1698925.0,3118,3312,Huge
215,ninaagdal,fashion,1695834.0,1093,2296,Huge
216,chaneliman,fashion,1693588.0,828,1596,Huge
217,rickeythompson,fashion,1690767.0,900,1884,Huge
218,bryanaholly,fashion,1688589.0,196,639,Huge
219,niomismart,fashion,1685570.0,350,2279,Huge
220,wengie,fashion,1660642.0,1007,1686,Huge
221,vanessajsimmons,fashion,1655130.0,1088,2954,Huge
222,joeyessex,fashion,1654431.0,405,2083,Huge
223,todderic_,fashion,1654428.0,800,926,Huge
224,lauriehernandez_,fashion,1650515.0,2415,1258,Huge
225,aaliyahjay,fashion,1641681.0,340,1439,Huge
226,ogeokoye,fashion,1627572.0,438,890,Huge
227,clarissamolinaofficial,fashion,1624037.0,737,3454,Huge
228,andymtzurita,fashion,1617551.0,676,495,Huge
229,nastilove,fashion,1597697.0,499,5533,Huge
230,valliludovica,fashion,1584648.0,261,2823,Huge
231,lauraanderson1x,fashion,1575510.0,886,4013,Huge
232,shawnjohnson,fashion,1561053.0,2733,2632,Huge
233,sampottorff,fashion,1553074.0,149,1280,Huge
234,ksfreak,fashion,1549099.0,151,633,Huge
235,marinaferrarig,fashion,1541097.0,594,3225,Huge
236,valegenta,fashion,1531774.0,618,1123,Huge
237,ijustine,fashion,1523612.0,1057,5466,Huge
238,emmacakecup,fashion,1513550.0,258,514,Huge
239,emilyskinner__,fashion,1502262.0,1118,512,Huge
240,ayla_woodruff,fashion,1492855.0,422,275,Huge
241,larsapippen,fashion,1485875.0,320,2488,Huge
242,itsmarioselman,fashion,1485762.0,188,462,Huge
243,binkyfelstead,fashion,1482788.0,668,2772,Huge
244,patriziayanguela,fashion,1480223.0,2369,1801,Huge
245,boounzueta,fashion,1479486.0,684,4114,Huge
246,helenowen,fashion,1475279.0,319,973,Huge
247,rocky_barnes,fashion,1473064.0,2290,6275,Huge
248,royalty_24kt,fashion,1464011.0,67,291,Huge
249,bestofmenstyle,fashion,1461800.0,13,9649,Huge
250,xenia,fashion,1423659.0,96,7749,Huge
251,charlottemckinney,fashion,1423649.0,520,613,Huge
252,rosymcmichael,fashion,1423209.0,800,1818,Huge
253,dinatokio,fashion,1419288.0,1370,3510,Huge
254,awed__,fashion,1413378.0,316,804,Huge
255,kayceericeofficial,fashion,1407796.0,707,1971,Huge
256,justtnic,fashion,1400073.0,1248,4661,Huge
257,elliethumann,fashion,1399762.0,383,515,Huge
258,jesswright77,fashion,1395991.0,1510,3771,Huge
259,rademita,fashion,1387080.0,213,2054,Huge
260,uaimatheus,fashion,1381973.0,639,2058,Huge
261,keilah.k,fashion,1380693.0,73,451,Huge
262,shaninamshaik,fashion,1378102.0,918,3555,Huge
263,carowozniacki,fashion,1365826.0,201,983,Huge
264,devwindsor,fashion,1348400.0,429,1587,Huge
265,joannakrupa,fashion,1348072.0,7499,3085,Huge
266,milliemackintosh,fashion,1344745.0,998,4682,Huge
267,veronicamerrell,fashion,1342745.0,1274,788,Huge
268,renataalves_oficial,fashion,1341457.0,216,2484,Huge
269,ireneisgood,fashion,1340919.0,151,4373,Huge
270,harrods,fashion,1335445.0,279,6838,Huge
271,parkermckennaaa,fashion,1329443.0,366,129,Huge
272,janicejoostemaa,fashion,1326354.0,640,2159,Huge
273,belle_lucia,fashion,1322256.0,339,1023,Huge
274,therealsophiagrace,fashion,1314100.0,859,984,Huge
275,therealdaytime,fashion,1306902.0,735,10118,Huge
276,poppydeyes,fashion,1296390.0,385,503,Huge
277,morganstewart,fashion,1275361.0,515,1979,Huge
278,dannyperez20,fashion,1273696.0,392,1164,Huge
279,luanavjollca,fashion,1270066.0,403,993,Huge
280,cocorocha,fashion,1266414.0,878,3453,Huge
281,stevie_bear,fashion,1257135.0,758,2421,Huge
282,meeeeeeeel_,fashion,1255106.0,781,1707,Huge
283,lorena,fashion,1254326.0,604,721,Huge
284,ma.pina,fashion,1242217.0,1232,937,Huge
285,meghanrienks,fashion,1239550.0,836,2858,Huge
286,emmawillisofficial,fashion,1238672.0,321,600,Huge
287,samgowland,fashion,1225071.0,384,679,Huge
288,corinnakopf,fashion,1223185.0,145,546,Huge
289,amanda_stantonn,fashion,1222473.0,980,969,Huge
290,ximenacordoba,fashion,1219890.0,1123,2271,Huge
291,andreeacristina,fashion,1216098.0,1063,1842,Huge
292,jamiejchung,fashion,1215314.0,1588,2322,Huge
293,sandyofficial,fashion,1210507.0,371,927,Huge
294,micael,fashion,1209854.0,429,2392,Huge
295,kazcrossley,fashion,1208313.0,1175,428,Huge
296,hijabhills,fashion,1205710.0,820,595,Huge
297,jessica_rose_uk,fashion,1198867.0,4263,1429,Huge
298,maelovecleo,fashion,1194088.0,1983,425,Huge
299,vanessa_incontrada,fashion,1192247.0,172,1021,Huge
300,stellahudgens,fashion,1189633.0,232,256,Huge
301,karinjinsui,fashion,1189258.0,736,1663,Huge
302,georgiakousoulou,fashion,1172491.0,1636,2519,Huge
303,beccatilley,fashion,1164702.0,869,1380,Huge
304,ariellecharnas,fashion,1164146.0,836,6835,Huge
305,dulcecandy,fashion,1162478.0,369,4580,Huge
306,hadiaghaleb,fashion,1149948.0,2210,2820,Huge
307,blaireadiebee,fashion,1145104.0,641,3360,Huge
308,oliviajade,fashion,1143572.0,501,489,Huge
309,laurenpopey,fashion,1141719.0,638,2022,Huge
310,coveteur,fashion,1137117.0,4552,8052,Huge
311,kadymcdermott,fashion,1134484.0,437,1386,Huge
312,westbrooks.crystal,fashion,1131955.0,54,1180,Huge
313,chrisellelim,fashion,1126941.0,2017,10389,Huge
314,chloe_simsstarship,fashion,1125389.0,742,2317,Huge
315,franciaraisa,fashion,1124315.0,1188,437,Huge
316,rah_ali,fashion,1117113.0,1200,904,Huge
317,lufyyyy,fashion,1116128.0,514,856,Huge
318,andrehamann,fashion,1114362.0,495,1412,Huge
319,fabianakarlareal,fashion,1113036.0,1259,3149,Huge
320,cloecouture,fashion,1110120.0,691,1627,Huge
321,witneycarson,fashion,1109299.0,713,1763,Huge
322,lalanoleto,fashion,1108473.0,1734,13492,Huge
323,alexsensation,fashion,1107578.0,5471,12230,Huge
324,jessicaerrero_official,fashion,1105537.0,756,593,Huge
325,samiramighty,fashion,1105077.0,1061,565,Huge
326,joannakuchta,fashion,1104955.0,1104,799,Huge
327,anastasiaashley,fashion,1103162.0,883,2160,Huge
328,jasmeannnn,fashion,1094030.0,378,2380,Huge
329,collagevintage,fashion,1093427.0,698,6129,Huge
330,laurenelizabeth,fashion,1083664.0,894,3249,Huge
331,rydellynch,fashion,1075058.0,166,2196,Huge
332,teresuch,fashion,1072158.0,1583,3145,Huge
333,heyitsannabanana,fashion,1071871.0,649,4038,Huge
334,alessandra,fashion,1063634.0,522,945,Huge
335,hannahmeloche,fashion,1063150.0,391,283,Huge
336,claudiasulewski,fashion,1058482.0,358,1775,Huge
337,weddingdiary,fashion,1058044.0,75,2070,Huge
338,vjanusha,fashion,1043963.0,222,1878,Huge
339,kristenmcatee,fashion,1039656.0,906,465,Huge
340,tatjanamariposa,fashion,1031336.0,1089,1192,Huge
341,cristinamusacchio,fashion,1030726.0,1516,1321,Huge
342,farinamusic,fashion,1026949.0,1064,661,Huge
343,alexcentomo,fashion,1026684.0,283,1031,Huge
344,alemaglietti,fashion,1026506.0,1603,3163,Huge
345,thebarbieblank,fashion,1021753.0,1443,1083,Huge
346,evachen212,fashion,1020325.0,1151,9895,Huge
347,itslaurendotcom,fashion,1017604.0,483,517,Huge
348,andi_dorfman,fashion,1016615.0,143,808,Huge
349,sbahle_mpisane,fashion,1015670.0,1598,1247,Huge
350,caseyhl91,fashion,1014578.0,338,1947,Huge
351,shirleylooooo,fashion,1013986.0,174,770,Huge
352,saraadrianberlin,fashion,1012813.0,2079,882,Huge
353,dawnrichard,fashion,1009683.0,0,449,Huge
354,hollywoodreporter,fashion,1005614.0,1145,11709,Huge
355,maddumagalhaes,fashion,997732.0,843,2407,Huge
356,jeannedamas,fashion,990846.0,528,2192,Huge
357,fabio_colloricchio,fashion,989644.0,230,1428,Huge
358,brandicyrus,fashion,988904.0,344,2106,Huge
359,iamkb,fashion,987568.0,989,7535,Huge
360,rachparcell,fashion,975917.0,752,4556,Huge
361,galagonzalez,fashion,972211.0,1009,7222,Huge
362,travbeachboy,fashion,971518.0,143,558,Huge
363,janataffarel,fashion,969934.0,1361,3345,Huge
364,saffronbarker,fashion,968506.0,655,1855,Huge
365,csiriano,fashion,965526.0,1090,6990,Huge
366,sophiathomalla,fashion,963710.0,665,1111,Huge
367,johanneshuebl,fashion,960792.0,59,1905,Huge
368,vanesa_romero,fashion,958464.0,735,2770,Huge
369,gentbelike,fashion,947786.0,13,14225,Huge
370,gloria_nbr,fashion,946198.0,112,368,Huge
371,carringtondurham,fashion,942569.0,399,1286,Huge
372,adelina.pestritu,fashion,940635.0,1774,7695,Huge
373,gaellegd,fashion,940160.0,127,566,Huge
374,thepatriciabright,fashion,939843.0,932,1288,Huge
375,lolowood_,fashion,938597.0,898,860,Huge
376,melitatoniolo,fashion,937144.0,2326,5024,Huge
377,jennydenucci,fashion,936272.0,933,1148,Huge
378,diipakhosla,fashion,934372.0,950,883,Huge
379,giuliapenna_official,fashion,931511.0,562,2164,Huge
380,mimielashiry,fashion,930085.0,1968,4863,Huge
381,culturewithcoco,fashion,929288.0,1442,1192,Huge
382,dylanjordan,fashion,929041.0,199,1004,Huge
383,iamlilimar,fashion,925718.0,3766,2624,Huge
384,nadiaturner,fashion,923438.0,197,1164,Huge
385,hellopakistan,fashion,922245.0,1120,53844,Huge
386,ardenrose,fashion,919914.0,647,2082,Huge
387,happilygrey,fashion,918838.0,1939,6698,Huge
388,lacalurivero,fashion,917899.0,1708,4057,Huge
389,makeupkaty,fashion,913074.0,144,1558,Huge
390,zorannah,fashion,910646.0,984,7591,Huge
391,ashnichole_xo,fashion,907261.0,1250,1271,Huge
392,elenimenegaki,fashion,902959.0,100,976,Huge
393,lexijayde,fashion,901979.0,909,766,Huge
394,paolaturani,fashion,899940.0,1021,4625,Huge
395,msrebeccablack,fashion,896224.0,704,1940,Huge
396,fashionhippieloves,fashion,894586.0,2644,4853,Huge
397,beatricevendramin,fashion,890400.0,552,1654,Huge
398,stylescrapbook,fashion,888646.0,794,10434,Huge
399,mariapombo,fashion,888140.0,493,1997,Huge
400,beauteactive,fashion,884535.0,137,2903,Huge
401,mariasole_pollio,fashion,877323.0,296,581,Huge
402,giulianatiofficial,fashion,876540.0,426,1932,Huge
403,theerealkarlaj,fashion,875831.0,402,365,Huge
404,jasminevillegas,fashion,875012.0,113,265,Huge
405,oscarbranzani,fashion,874881.0,223,3192,Huge
406,emitaz,fashion,866596.0,380,868,Huge
407,rocio0sorno,fashion,860770.0,250,1828,Huge
408,adaripp,fashion,860767.0,1121,1252,Huge
409,rosieawilliams,fashion,855198.0,1426,386,Huge
410,vidyavox,fashion,854714.0,201,396,Huge
411,k.els.e.y,fashion,853973.0,312,746,Huge
412,joshuaritchie1,fashion,849221.0,852,788,Huge
413,kendallraeknight,fashion,849134.0,919,1541,Huge
414,natyashba,fashion,848161.0,565,1072,Huge
415,ignaziomoser,fashion,845795.0,752,440,Huge
416,caraasantana,fashion,844250.0,790,4260,Huge
417,michellesalasb,fashion,842966.0,2048,3008,Huge
418,slickwoods,fashion,839846.0,1280,815,Huge
419,jujunorremose,fashion,836713.0,449,5881,Huge
420,jessiepaege,fashion,829217.0,309,1139,Huge
421,elizabethcturner,fashion,828497.0,981,683,Huge
422,thatsheart,fashion,828489.0,514,2704,Huge
423,dtrix,fashion,825946.0,636,1583,Huge
424,vanessagrimaldi30,fashion,825628.0,922,575,Huge
425,lamiyaslimani,fashion,825621.0,348,1498,Huge
426,micololivieri_,fashion,823861.0,235,2274,Huge
427,jennaminnie,fashion,823712.0,1529,1098,Huge
428,veronicaferraro,fashion,822614.0,2326,7198,Huge
429,morgandwestbrooks,fashion,822406.0,2588,7220,Huge
430,hoxha_aurela,fashion,817029.0,290,1113,Huge
431,munishmaya,fashion,815335.0,40,1119,Huge
432,renatameins,fashion,814333.0,700,2908,Huge
433,lateysha_grace,fashion,812566.0,812,785,Huge
434,yvonnepferrer,fashion,812284.0,533,1786,Huge
435,georgialouiseharrison,fashion,811127.0,1881,1640,Huge
436,francescachillemi___,fashion,809209.0,1250,538,Huge
437,corentinhuard,fashion,803155.0,222,552,Huge
438,tiarachel91,fashion,802805.0,1027,393,Huge
439,marta.losito,fashion,801637.0,2215,439,Huge
440,agatha,fashion,801335.0,356,3536,Huge
441,bestofstreetstyled,fashion,801220.0,13,8489,Huge
442,mollieking,fashion,799228.0,548,2164,Huge
443,federicapaper,fashion,796813.0,1535,419,Huge
444,oficialganacin,fashion,795674.0,2033,3405,Huge
445,vivaluxuryblog,fashion,795050.0,712,3749,Huge
446,kamiahadams,fashion,793289.0,412,865,Huge
447,giizeleoliveira,fashion,792869.0,829,2335,Huge
448,sharnaburgess,fashion,786083.0,619,1513,Huge
449,saulnanni,fashion,781704.0,498,415,Huge
450,silvietta_raffa,fashion,779986.0,183,1903,Huge
451,juliafaria,fashion,779915.0,982,5349,Huge
452,rose_bertram,fashion,779753.0,527,2623,Huge
453,rickygissss,fashion,778463.0,671,1351,Huge
454,kelseymerritt,fashion,773782.0,479,756,Huge
455,jenniferbachdim,fashion,772760.0,621,2092,Huge
456,belenhostalet,fashion,770647.0,880,2336,Huge
457,jennaushkowitz,fashion,768370.0,1860,1681,Huge
458,wiintrr,fashion,766946.0,86,662,Huge
459,cristinacordula,fashion,765967.0,459,927,Huge
460,chaileeson,fashion,764976.0,297,1290,Huge
461,lurehsu,fashion,759003.0,191,1302,Huge
462,sofia_dallerive,fashion,758235.0,481,576,Huge
463,aliciasilverstone,fashion,757397.0,65,581,Huge
464,cocoelif,fashion,754146.0,87,1207,Huge
465,elenamoralireal,fashion,753903.0,426,1155,Huge
466,spanglishfashion,fashion,752587.0,948,4184,Huge
467,sofijuok,fashion,752112.0,656,3224,Huge
468,colympios,fashion,750956.0,943,318,Huge
469,latainax3,fashion,746844.0,789,568,Huge
470,brendanrobinson,fashion,740935.0,173,792,Huge
471,teresannabellambriana,fashion,739440.0,1460,1075,Huge
472,bionditudo,fashion,738499.0,718,1456,Huge
473,pamallier,fashion,737272.0,896,3011,Huge
474,lydiaemillen,fashion,737157.0,724,2456,Huge
475,amyytk,fashion,735209.0,386,637,Huge
476,esteelalonde,fashion,734749.0,648,3078,Huge
477,marlohampton,fashion,733480.0,0,2801,Huge
478,domlever,fashion,732615.0,400,665,Huge
479,proudlock,fashion,732109.0,496,3199,Huge
480,kristinaschulman,fashion,731391.0,486,264,Huge
481,lucavezil,fashion,731065.0,757,2163,Huge
482,elenadamario,fashion,729412.0,441,1213,Huge
483,meryturiel,fashion,727367.0,398,2495,Huge
484,affaf,fashion,724350.0,278,314,Huge
485,micarocha,fashion,723704.0,1163,5241,Huge
486,lorihoxha,fashion,722732.0,195,1026,Huge
487,kburton_25,fashion,722371.0,449,770,Huge
488,samthompsonuk,fashion,719917.0,108,892,Huge
489,samanthafrison,fashion,719318.0,142,688,Huge
490,casonatosilvia,fashion,718191.0,291,471,Huge
491,thearabianprincess,fashion,716840.0,702,491,Huge
492,weallwanther,fashion,715451.0,4366,1675,Huge
493,samgolbach,fashion,715099.0,104,577,Huge
494,linda_kafexholli,fashion,711946.0,228,754,Huge
495,martalozanop,fashion,711428.0,475,1764,Huge
496,jasmine_tosh,fashion,709913.0,702,2848,Huge
497,kissedbyken,fashion,709035.0,4331,1826,Huge
498,thefashionista,fashion,708633.0,314,1717,Huge
499,elenoirec,fashion,708227.0,431,1522,Huge
500,nichelifestyle,fashion,707294.0,3002,49953,Huge
501,teachingmensfashion,fashion,704802.0,84,1266,Huge
502,theblondesalad,fashion,703466.0,85,2630,Huge
