State,Year,State Debt,Local Debt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
Illinois,1958,0.7,2.7,3.4,29.8,-0.8,9.8
Missouri,1958,0.0,0.8,0.9,10.3,-0.8,4.2
Oregon,1958,0.2,0.3,0.5,4.3,-0.7,1.7
Nebraska,1958,0.0,0.5,0.5,3.2,-0.7,1.4
Alaska,1958,0.0,0.0,0.0,0.8,-0.8,0.2
West Virginia,1958,0.3,0.1,0.4,3.5,-0.7,1.9
Washington,1958,0.4,1.4,1.7,8.4,-0.8,2.8
Virginia,1958,0.2,0.7,0.8,8.8,-0.8,3.8
Vermont,1958,0.0,0.0,0.1,0.7,-0.8,0.4
Utah,1958,0.0,0.2,0.2,2.3,-0.7,0.8
All states combined,1958,15.4,42.8,58.2,481.2,-0.7,173.3
Texas,1958,0.2,2.8,3.1,22.1,-0.8,9.2
Tennessee,1958,0.1,0.9,1.1,6.8,-0.8,3.5
South Dakota,1958,0.0,0.1,0.1,1.2,-0.8,0.7
Montana,1958,0.0,0.1,0.2,1.5,-0.8,0.7
South Carolina,1958,0.3,0.2,0.5,3.8,-0.8,2.3
Pennsylvania,1958,1.2,2.3,3.5,26.1,-0.8,11.2
Oklahoma,1958,0.2,0.4,0.6,4.6,-0.7,2.3
Ohio,1958,0.8,2.1,2.9,25.1,-0.8,9.3
North Dakota,1958,0.0,0.1,0.1,1.2,-0.8,0.6
North Carolina,1958,0.3,0.6,0.9,9.5,-0.8,4.5
New York,1958,2.2,8.3,10.6,53.3,-0.8,16.4
New Mexico,1958,0.0,0.2,0.2,2.3,-0.7,0.9
New Jersey,1958,0.9,1.5,2.4,17.7,-0.8,5.8
New Hampshire,1958,0.1,0.1,0.1,1.2,-0.8,0.6
Nevada,1958,0.0,0.1,0.1,1.4,-0.8,0.3
Rhode Island,1958,0.1,0.2,0.3,2.0,-0.8,0.8
Alabama,1958,0.1,0.6,0.7,5.5,-0.8,3.2
Wyoming,1958,0.0,0.1,0.1,1.0,-0.8,0.3
Wisconsin,1958,0.0,0.6,0.6,9.6,-0.8,3.8
Alaska,1959,0.0,0.1,0.1,0.9,7.0,0.2
Nevada,1959,0.0,0.1,0.1,1.5,6.9,0.3
New Hampshire,1959,0.1,0.1,0.2,1.4,6.9,0.6
New Jersey,1959,0.9,1.6,2.5,19.1,6.9,5.9
New Mexico,1959,0.1,0.2,0.2,2.5,6.9,0.9
New York,1959,2.6,9.0,11.6,57.8,6.9,16.6
North Carolina,1959,0.3,0.6,0.9,10.3,6.9,4.5
North Dakota,1959,0.0,0.1,0.1,1.3,6.9,0.6
Ohio,1959,0.8,2.3,3.1,27.2,6.9,9.5
Oklahoma,1959,0.2,0.4,0.6,5.0,6.9,2.3
Oregon,1959,0.3,0.3,0.6,4.7,6.9,1.7
Pennsylvania,1959,1.4,2.7,4.1,28.3,6.9,11.2
Rhode Island,1959,0.1,0.2,0.3,2.2,7.0,0.9
South Dakota,1959,0.0,0.1,0.1,1.3,6.9,0.7
Tennessee,1959,0.1,1.0,1.1,7.4,6.9,3.5
Texas,1959,0.3,3.0,3.3,23.9,6.9,9.4
All states combined,1959,16.9,47.2,64.1,521.7,6.9,176.3
Utah,1959,0.0,0.2,0.2,2.5,6.9,0.9
Vermont,1959,0.0,0.1,0.1,0.8,6.9,0.4
Virginia,1959,0.2,0.7,0.9,9.6,6.9,3.9
Washington,1959,0.4,1.6,2.0,9.1,6.9,2.8
West Virginia,1959,0.3,0.2,0.4,3.8,6.9,1.9
Wisconsin,1959,0.0,0.7,0.7,10.4,6.9,3.9
South Carolina,1959,0.3,0.2,0.5,4.1,6.9,2.4
Nebraska,1959,0.0,0.6,0.6,3.5,6.9,1.4
Montana,1959,0.0,0.1,0.2,1.6,6.9,0.7
Mississippi,1959,0.1,0.3,0.5,3.6,6.9,2.2
Arizona,1959,0.0,0.4,0.4,3.7,6.9,1.2
Arkansas,1959,0.1,0.2,0.3,3.1,6.9,1.8
California,1959,1.7,4.3,6.0,55.5,6.9,15.1
Colorado,1959,0.1,0.5,0.6,4.8,6.9,1.7
Connecticut,1959,0.8,0.7,1.5,8.1,6.9,2.5
Delaware,1959,0.2,0.1,0.3,1.5,6.9,0.4
District of Columbia,1959,0.0,0.1,0.1,4.2,6.9,0.8
Florida,1959,0.3,1.3,1.5,12.0,6.9,4.7
Georgia,1959,0.3,0.7,1.0,8.4,6.9,3.9
Hawaii,1959,0.0,0.0,0.0,1.9,6.9,0.6
Alabama,1959,0.2,0.6,0.8,6.0,6.9,3.2
Idaho,1959,0.0,0.1,0.1,1.5,6.9,0.7
Indiana,1959,0.4,0.7,1.1,12.8,6.9,4.6
Iowa,1959,0.0,0.3,0.4,6.5,6.9,2.7
Kansas,1959,0.2,0.6,0.7,5.0,6.9,2.1
Kentucky,1959,0.1,0.4,0.5,6.8,6.9,3.0
Louisiana,1959,0.4,0.9,1.3,7.9,6.9,3.2
Maine,1959,0.1,0.1,0.2,2.0,6.9,1.0
Maryland,1959,0.6,1.0,1.6,8.4,6.9,3.0
Massachusetts,1959,1.2,1.3,2.5,14.2,6.9,5.1
Michigan,1959,0.8,1.5,2.3,24.9,6.9,7.7
Minnesota,1959,0.2,0.9,1.0,8.8,6.9,3.4
Illinois,1959,0.7,3.2,4.0,32.3,6.9,9.9
Missouri,1959,0.1,0.9,0.9,11.1,6.9,4.3
Wyoming,1959,0.0,0.1,0.1,1.1,6.9,0.3
Alabama,1960,0.2,0.7,0.9,6.2,2.6,3.3
New Hampshire,1960,0.1,0.1,0.2,1.4,2.6,0.6
New Jersey,1960,0.9,1.7,2.6,19.9,2.6,6.1
New Mexico,1960,0.1,0.2,0.2,2.6,2.6,1.0
New York,1960,2.9,9.7,12.6,60.1,2.6,16.8
North Carolina,1960,0.3,0.7,1.0,10.8,2.6,4.6
North Dakota,1960,0.0,0.1,0.1,1.4,2.6,0.6
Ohio,1960,0.9,2.5,3.4,28.3,2.6,9.7
Oklahoma,1960,0.2,0.5,0.7,5.2,2.6,2.3
Oregon,1960,0.3,0.3,0.6,4.9,2.6,1.8
Pennsylvania,1960,1.5,3.1,4.5,29.4,2.6,11.3
South Carolina,1960,0.3,0.2,0.5,4.3,2.6,2.4
South Dakota,1960,0.0,0.1,0.1,1.4,2.6,0.7
Tennessee,1960,0.1,1.1,1.2,7.7,2.6,3.6
Texas,1960,0.3,3.3,3.6,24.9,2.6,9.6
All states combined,1960,18.5,51.4,70.0,542.4,2.6,179.3
Utah,1960,0.0,0.2,0.2,2.6,2.6,0.9
Vermont,1960,0.0,0.0,0.1,0.8,2.7,0.4
Virginia,1960,0.2,0.8,1.0,9.9,2.6,4.0
Washington,1960,0.4,1.7,2.1,9.5,2.6,2.9
West Virginia,1960,0.3,0.2,0.5,3.9,2.6,1.9
Wisconsin,1960,0.1,0.8,0.9,10.8,2.6,4.0
Wyoming,1960,0.0,0.1,0.1,1.2,2.6,0.3
Alaska,1960,0.0,0.1,0.1,0.9,2.6,0.2
Nevada,1960,0.0,0.1,0.1,1.5,2.6,0.3
Nebraska,1960,0.0,0.6,0.6,3.6,2.6,1.4
Rhode Island,1960,0.1,0.2,0.3,2.3,2.6,0.9
Missouri,1960,0.1,0.9,1.0,11.6,2.6,4.3
Montana,1960,0.0,0.1,0.2,1.7,2.6,0.7
Arizona,1960,0.0,0.5,0.5,3.8,2.6,1.3
Arkansas,1960,0.1,0.2,0.3,3.2,2.6,1.8
California,1960,2.0,4.7,6.7,57.7,2.6,15.7
Colorado,1960,0.1,0.6,0.7,5.0,2.6,1.8
Connecticut,1960,0.9,0.8,1.6,8.4,2.6,2.5
Delaware,1960,0.2,0.1,0.3,1.6,2.6,0.4
Florida,1960,0.3,1.4,1.7,12.5,2.6,5.0
Georgia,1960,0.3,0.8,1.1,8.8,2.6,3.9
Hawaii,1960,0.2,0.1,0.3,2.0,2.6,0.6
Idaho,1960,0.0,0.1,0.1,1.6,2.6,0.7
Illinois,1960,0.7,3.5,4.2,33.6,2.6,10.1
District of Columbia,1960,0.0,0.1,0.1,4.4,2.6,0.8
Mississippi,1960,0.2,0.4,0.6,3.8,2.6,2.2
Iowa,1960,0.0,0.4,0.4,6.7,2.6,2.8
Kansas,1960,0.2,0.6,0.8,5.2,2.6,2.2
Kentucky,1960,0.2,0.4,0.6,7.1,2.6,3.0
Louisiana,1960,0.4,1.0,1.4,8.2,2.6,3.3
Maine,1960,0.1,0.1,0.2,2.1,2.6,1.0
Maryland,1960,0.6,1.1,1.7,8.7,2.6,3.1
Massachusetts,1960,1.2,1.4,2.6,14.8,2.6,5.1
Michigan,1960,0.8,1.6,2.4,25.9,2.6,7.8
Minnesota,1960,0.2,1.0,1.2,9.1,2.6,3.4
Indiana,1960,0.4,0.7,1.1,13.3,2.6,4.7
Indiana,1961,0.4,0.8,1.2,13.8,2.6,4.7
Iowa,1961,0.1,0.5,0.5,7.0,2.6,2.8
Kansas,1961,0.2,0.6,0.8,5.4,2.6,2.2
Kentucky,1961,0.3,0.5,0.8,7.4,2.6,3.1
Louisiana,1961,0.4,1.0,1.4,8.5,2.6,3.3
Minnesota,1961,0.2,1.0,1.2,9.5,2.6,3.5
Maryland,1961,0.6,1.2,1.8,9.1,2.6,3.2
Massachusetts,1961,1.3,1.4,2.8,15.4,2.6,5.2
Michigan,1961,0.8,1.8,2.6,26.9,2.6,7.9
Illinois,1961,0.7,3.8,4.5,34.9,2.6,10.2
Maine,1961,0.1,0.1,0.2,2.1,2.6,1.0
Idaho,1961,0.0,0.1,0.1,1.6,2.6,0.7
Alabama,1961,0.3,0.7,1.0,6.5,2.6,3.3
Georgia,1961,0.3,0.8,1.1,9.1,2.6,4.0
Florida,1961,0.3,1.6,1.9,13.0,2.6,5.1
District of Columbia,1961,0.0,0.2,0.2,4.5,2.6,0.8
Delaware,1961,0.2,0.1,0.3,1.7,2.6,0.5
Connecticut,1961,1.0,0.8,1.7,8.7,2.6,2.6
Colorado,1961,0.1,0.6,0.6,5.2,2.6,1.8
California,1961,2.5,5.4,7.9,59.8,2.6,16.1
Arkansas,1961,0.1,0.2,0.3,3.3,2.6,1.8
Arizona,1961,0.0,0.5,0.5,4.0,2.6,1.3
Alaska,1961,0.0,0.1,0.1,1.0,2.6,0.2
Mississippi,1961,0.2,0.4,0.6,3.9,2.6,2.2
Hawaii,1961,0.2,0.1,0.3,2.1,2.6,0.6
Missouri,1961,0.1,1.0,1.1,12.0,2.6,4.4
Montana,1961,0.1,0.1,0.2,1.7,2.6,0.7
Nebraska,1961,0.0,0.6,0.6,3.8,2.6,1.4
Wisconsin,1961,0.1,0.9,1.0,11.2,2.6,4.0
West Virginia,1961,0.3,0.2,0.5,4.1,2.6,1.8
Washington,1961,0.4,1.8,2.2,9.9,2.6,2.9
Virginia,1961,0.2,1.0,1.2,10.3,2.6,4.0
Vermont,1961,0.1,0.0,0.1,0.9,2.6,0.4
Utah,1961,0.0,0.2,0.2,2.6,2.6,0.9
All states combined,1961,20.0,55.0,75.0,562.2,2.6,181.6
Texas,1961,0.4,3.5,3.9,25.8,2.6,9.7
Tennessee,1961,0.1,1.1,1.3,8.0,2.6,3.6
South Dakota,1961,0.0,0.1,0.1,1.4,2.6,0.7
South Carolina,1961,0.3,0.2,0.5,4.5,2.6,2.4
Wyoming,1961,0.0,0.1,0.1,1.2,2.6,0.3
Pennsylvania,1961,1.5,3.2,4.7,30.5,2.6,11.4
Oregon,1961,0.3,0.3,0.7,5.0,2.6,1.8
Oklahoma,1961,0.2,0.5,0.7,5.4,2.6,2.4
Ohio,1961,0.9,2.6,3.5,29.3,2.6,9.8
North Dakota,1961,0.0,0.1,0.1,1.4,2.6,0.6
North Carolina,1961,0.3,0.7,1.0,11.1,2.6,4.6
New York,1961,3.2,10.0,13.2,62.3,2.6,16.9
New Mexico,1961,0.1,0.2,0.3,2.7,2.6,1.0
New Jersey,1961,0.9,1.9,2.8,20.6,2.6,6.2
New Hampshire,1961,0.1,0.1,0.2,1.5,2.5,0.6
Nevada,1961,0.0,0.1,0.1,1.6,2.6,0.3
Rhode Island,1961,0.1,0.2,0.3,2.4,2.6,0.9
Kansas,1962,0.2,0.7,0.9,5.8,6.1,2.2
Kentucky,1962,0.6,0.6,1.2,7.9,6.1,3.1
Louisiana,1962,0.4,1.2,1.5,9.2,6.1,3.3
Maine,1962,0.1,0.1,0.3,2.3,6.1,1.0
Mississippi,1962,0.2,0.4,0.7,4.2,6.1,2.2
Massachusetts,1962,1.5,1.4,2.9,16.5,6.1,5.3
Michigan,1962,0.9,2.1,3.1,28.9,6.1,8.0
Minnesota,1962,0.2,1.1,1.3,10.2,6.1,3.5
Iowa,1962,0.0,0.5,0.5,7.5,6.1,2.8
Maryland,1962,0.7,1.2,1.9,9.7,6.1,3.3
Indiana,1962,0.4,0.9,1.3,14.8,6.1,4.8
District of Columbia,1962,0.0,0.2,0.2,4.9,6.1,0.8
Idaho,1962,0.0,0.1,0.1,1.7,6.1,0.7
Hawaii,1962,0.2,0.2,0.4,2.2,6.1,0.7
Georgia,1962,0.4,0.9,1.3,9.8,6.1,4.1
Florida,1962,0.4,1.6,2.0,13.9,6.1,5.3
Delaware,1962,0.2,0.1,0.3,1.8,6.1,0.5
Connecticut,1962,1.1,0.9,2.0,9.4,6.1,2.6
Colorado,1962,0.1,0.6,0.7,5.6,6.1,1.8
California,1962,2.8,5.9,8.7,64.3,6.1,16.5
Arkansas,1962,0.1,0.3,0.4,3.6,6.1,1.8
Arizona,1962,0.0,0.5,0.6,4.2,6.1,1.4
Missouri,1962,0.1,1.1,1.1,12.9,6.1,4.4
Illinois,1962,0.9,3.8,4.7,37.4,6.1,10.3
Montana,1962,0.1,0.1,0.2,1.9,6.1,0.7
Pennsylvania,1962,1.5,3.4,5.0,32.7,6.1,11.4
Nevada,1962,0.0,0.1,0.1,1.7,6.1,0.3
Wyoming,1962,0.0,0.1,0.1,1.3,6.2,0.3
Wisconsin,1962,0.1,1.0,1.2,12.1,6.1,4.0
West Virginia,1962,0.3,0.2,0.5,4.4,6.1,1.8
Washington,1962,0.5,1.9,2.4,10.6,6.1,3.0
Virginia,1962,0.2,1.1,1.3,11.1,6.1,4.1
Vermont,1962,0.1,0.1,0.1,0.9,6.1,0.4
Utah,1962,0.0,0.3,0.3,2.8,6.2,0.9
All states combined,1962,22.0,58.8,80.8,603.9,6.1,183.9
Texas,1962,0.4,3.7,4.2,27.7,6.1,9.9
Tennessee,1962,0.1,1.3,1.4,8.6,6.1,3.6
South Dakota,1962,0.0,0.1,0.1,1.5,6.2,0.7
South Carolina,1962,0.3,0.3,0.5,4.8,6.1,2.4
Rhode Island,1962,0.1,0.2,0.4,2.5,6.1,0.9
Alaska,1962,0.0,0.1,0.1,1.0,6.1,0.2
Oregon,1962,0.4,0.4,0.8,5.4,6.1,1.8
Oklahoma,1962,0.3,0.6,0.9,5.8,6.1,2.4
Ohio,1962,0.9,2.7,3.6,31.5,6.1,9.9
North Dakota,1962,0.0,0.1,0.2,1.5,6.1,0.6
North Carolina,1962,0.3,0.7,1.0,12.0,6.1,4.7
New York,1962,3.3,10.7,14.0,66.9,6.1,17.1
New Mexico,1962,0.1,0.2,0.3,2.9,6.1,1.0
New Jersey,1962,0.9,2.0,2.9,22.2,6.1,6.3
New Hampshire,1962,0.1,0.1,0.2,1.6,6.1,0.6
Nebraska,1962,0.0,0.6,0.6,4.0,6.1,1.4
Alabama,1962,0.3,0.8,1.1,7.0,6.1,3.3
Alabama,1963,0.3,0.8,1.1,7.3,4.3,3.3
Wisconsin,1963,0.1,1.1,1.3,12.7,4.3,4.1
Nevada,1963,0.0,0.1,0.1,1.8,4.3,0.3
New Hampshire,1963,0.1,0.1,0.2,1.7,4.4,0.6
New Jersey,1963,1.0,2.1,3.1,23.4,4.3,6.4
New Mexico,1963,0.1,0.2,0.3,3.0,4.3,1.0
New York,1963,3.5,11.3,14.8,70.6,4.3,17.2
North Carolina,1963,0.2,0.8,1.0,12.6,4.3,4.7
North Dakota,1963,0.0,0.1,0.2,1.6,4.3,0.6
Ohio,1963,0.8,2.9,3.8,33.3,4.3,10.0
Oklahoma,1963,0.3,0.6,0.9,6.2,4.3,2.4
Pennsylvania,1963,1.6,4.1,5.6,34.5,4.3,11.5
Nebraska,1963,0.0,0.6,0.6,4.3,4.3,1.4
Rhode Island,1963,0.1,0.2,0.4,2.7,4.3,0.9
South Dakota,1963,0.0,0.1,0.1,1.6,4.3,0.7
Tennessee,1963,0.2,1.6,1.7,9.1,4.3,3.7
Texas,1963,0.5,4.0,4.5,29.3,4.3,10.0
All states combined,1963,23.2,61.9,85.1,637.5,4.4,186.2
Utah,1963,0.0,0.3,0.3,3.0,4.3,0.9
Vermont,1963,0.1,0.1,0.1,1.0,4.3,0.4
Virginia,1963,0.2,1.1,1.3,11.7,4.3,4.2
Washington,1963,0.5,2.1,2.6,11.2,4.3,3.0
West Virginia,1963,0.3,0.2,0.5,4.6,4.3,1.8
Wyoming,1963,0.0,0.1,0.1,1.4,4.3,0.3
South Carolina,1963,0.3,0.3,0.5,5.1,4.3,2.4
Montana,1963,0.1,0.2,0.2,2.0,4.4,0.7
Oregon,1963,0.4,0.4,0.8,5.7,4.3,1.9
Mississippi,1963,0.2,0.4,0.6,4.4,4.3,2.2
Alaska,1963,0.1,0.1,0.2,1.1,4.3,0.2
Missouri,1963,0.1,1.1,1.2,13.6,4.3,4.4
Arizona,1963,0.0,0.6,0.6,4.5,4.3,1.4
Arkansas,1963,0.1,0.3,0.4,3.8,4.3,1.8
California,1963,2.9,6.5,9.5,67.8,4.3,16.9
Colorado,1963,0.1,0.6,0.7,5.9,4.3,1.9
Connecticut,1963,1.1,0.9,2.0,9.9,4.3,2.7
Delaware,1963,0.2,0.1,0.4,1.9,4.3,0.5
Florida,1963,0.5,1.9,2.4,14.7,4.3,5.4
Georgia,1963,0.5,1.0,1.5,10.3,4.3,4.1
Hawaii,1963,0.2,0.2,0.4,2.4,4.3,0.7
Idaho,1963,0.0,0.1,0.2,1.8,4.4,0.7
District of Columbia,1963,0.0,0.3,0.3,5.1,4.3,0.8
Michigan,1963,1.0,2.5,3.5,30.5,4.3,8.1
Indiana,1963,0.5,0.9,1.3,15.6,4.3,4.8
Iowa,1963,0.0,0.5,0.5,7.9,4.3,2.8
Kansas,1963,0.2,0.7,0.9,6.1,4.3,2.2
Kentucky,1963,0.6,0.7,1.3,8.4,4.3,3.1
Louisiana,1963,0.5,1.2,1.7,9.7,4.3,3.4
Maine,1963,0.1,0.1,0.3,2.4,4.3,1.0
Maryland,1963,0.7,1.3,2.1,10.3,4.3,3.3
Massachusetts,1963,1.5,1.6,3.1,17.4,4.3,5.3
Illinois,1963,1.0,3.7,4.8,39.5,4.3,10.4
Minnesota,1963,0.2,1.2,1.5,10.7,4.3,3.5
Oklahoma,1964,0.4,0.7,1.0,6.5,4.8,2.4
Ohio,1964,0.8,2.9,3.8,35.7,5.6,10.1
North Dakota,1964,0.0,0.2,0.2,1.6,-3.5,0.6
North Carolina,1964,0.2,0.8,1.1,13.5,5.1,4.8
Nevada,1964,0.0,0.2,0.2,1.9,4.7,0.4
New Mexico,1964,0.1,0.2,0.3,3.2,2.6,1.0
New Jersey,1964,1.0,2.2,3.2,24.8,4.3,6.5
New Hampshire,1964,0.1,0.1,0.2,1.8,8.1,0.7
Oregon,1964,0.4,0.4,0.9,6.2,6.4,1.9
New York,1964,3.9,11.7,15.5,75.5,5.3,17.4
Pennsylvania,1964,1.7,4.4,6.1,37.4,6.6,11.5
West Virginia,1964,0.3,0.2,0.5,4.9,4.4,1.8
South Carolina,1964,0.2,0.3,0.5,5.5,8.0,2.5
South Dakota,1964,0.0,0.1,0.1,1.6,-2.3,0.7
Tennessee,1964,0.2,1.8,2.0,9.8,6.1,3.7
Texas,1964,0.5,4.1,4.6,31.4,5.6,10.2
All states combined,1964,25.0,67.2,92.2,684.5,5.8,188.6
Utah,1964,0.0,0.3,0.3,3.1,1.1,1.0
Vermont,1964,0.1,0.1,0.1,1.1,8.1,0.4
Virginia,1964,0.2,1.2,1.4,12.7,7.2,4.2
Washington,1964,0.5,2.1,2.7,11.4,0.5,3.1
Nebraska,1964,0.0,0.6,0.7,4.4,1.7,1.4
Rhode Island,1964,0.2,0.3,0.4,2.9,5.6,0.9
Montana,1964,0.1,0.2,0.2,2.0,1.0,0.7
Alaska,1964,0.1,0.1,0.2,1.2,11.9,0.3
Mississippi,1964,0.2,0.4,0.7,4.5,0.7,2.2
Wisconsin,1964,0.2,1.2,1.4,13.7,6.1,4.1
Arizona,1964,0.0,0.6,0.6,4.8,5.9,1.5
Arkansas,1964,0.1,0.3,0.4,4.1,7.8,1.8
California,1964,3.3,6.9,10.2,73.5,6.8,17.3
Colorado,1964,0.1,0.7,0.8,6.2,3.5,1.9
Connecticut,1964,1.2,1.0,2.1,10.6,5.2,2.7
Delaware,1964,0.3,0.3,0.5,2.1,8.1,0.5
District of Columbia,1964,0.0,0.3,0.3,5.6,6.5,0.8
Florida,1964,0.6,1.9,2.5,16.0,7.5,5.6
Georgia,1964,0.5,1.0,1.5,11.3,7.4,4.2
Hawaii,1964,0.3,0.2,0.5,2.6,7.0,0.7
Idaho,1964,0.0,0.1,0.2,1.9,4.1,0.7
Illinois,1964,1.1,3.8,4.9,42.5,5.9,10.5
Indiana,1964,0.5,0.9,1.4,16.7,5.3,4.9
Iowa,1964,0.1,0.5,0.5,8.4,3.8,2.8
Kansas,1964,0.2,0.7,0.9,6.4,3.0,2.2
Kentucky,1964,0.7,0.7,1.4,8.8,3.4,3.1
Louisiana,1964,0.6,1.3,1.8,10.5,6.8,3.4
Maine,1964,0.2,0.1,0.3,2.6,6.0,1.0
Maryland,1964,0.8,1.4,2.1,11.2,7.2,3.4
Massachusetts,1964,1.5,1.5,3.1,18.6,5.3,5.4
Michigan,1964,1.0,2.8,3.7,32.6,5.3,8.2
Minnesota,1964,0.3,1.3,1.6,11.4,4.1,3.6
Missouri,1964,0.1,1.2,1.3,14.5,4.6,4.5
Wyoming,1964,0.0,0.1,0.1,1.4,2.3,0.3
Alabama,1964,0.3,0.8,1.2,8.2,10.3,3.3
Alabama,1965,0.4,0.9,1.3,9.0,7.5,3.4
Nebraska,1965,0.0,0.7,0.7,4.7,6.0,1.4
Nevada,1965,0.0,0.2,0.2,2.0,3.2,0.4
New Hampshire,1965,0.1,0.1,0.2,2.0,6.3,0.7
New Jersey,1965,1.1,2.4,3.5,26.7,5.7,6.6
New Mexico,1965,0.1,0.3,0.4,3.3,3.0,1.0
New York,1965,4.1,12.5,16.6,80.3,4.5,17.5
North Carolina,1965,0.2,0.9,1.1,14.5,5.9,4.8
North Dakota,1965,0.0,0.2,0.2,1.8,12.6,0.6
Ohio,1965,0.9,3.2,4.1,39.1,7.6,10.2
Oklahoma,1965,0.4,0.7,1.1,7.0,4.5,2.4
